minmax,Belföldi oda- és elvándorlás különbsége ezer lakosra,Bűncselekmények száma ezer főre,Diplomások aránya (interpolált),Egy lakosra jutó SZJA adóalapot képező belföldi jövedelem (Ft),Gimnáziumi tanulók a nappali oktatásban ezer főre,Helyi önkormányzatok összes költségvetési bevétele (1000 Ft) egy főre,Iparűzési adó egy főre (1000 ft),Közüzemi ivóvízvezeték-hálózatba bekapcsolt lakások aránya (százalék),Lakások átlagos négyzetméterára,Alapszolgáltatásokon felüli kiadások egy főre (1000 Ft),Állami támogatások egy főre (pályázatok),"Az év folyamán épített lakás, 1000 lakásra (db)",Egy házi- és házi gyermekorvosra jutó lakos (fő),Élelmiszer és élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),Eltartottsági ráta,"Felsőfokú intézmények nappali tagozatos hallgatói (képzés helye szerint), 1000 lakosra (fő)",Gyógyszertárak tízezer főre,"Játszóterek, tornapályák, pihenőhelyek ezer főre",Közcsatornahálózatba bekapcsolt lakások aránya (százalék),Kulturális rendezvényeken részt vevők száma egy főre,Legközelebbi legalább 50 ezer fős város elérési ideje közúton a legrövidebb úton (perc),Nem élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),"Nyilvántartott álláskereső, 100 15-64 évesre (fő)",Önkormányzati járdák kiépítettsége (százalék),Önkormányzati utak kiépítettsége (százalék),"SZJA adófizető, 100 lakosra (fő)",Vendégéjszakák száma a kereskedelmi szálláshelyeken száz főre (db),Vendéglátóhelyek száma tízezer főre (db),25 év alatti nyilvántartott álláskeresők aránya (százalék),"Alkotó művelődési közösségek tagjai, 100 lakosra (fő)",Bevásárlóközpontok (városok) (igen-nem),Házi segítségnyújtásban részesülők ezer főre,Helyközi autóbusz-megálló léte (igen-nem),Internet-előfizetések száma ezer főre,Jelzőrendszeres házi segítségnyújtásban részesülők tízezer főre,Kormányablak léte (igen-nem),Közüzemi szennyvízgyűjtő-hálózatban (közcsatornában) tisztítottan elvezetett szennyvíz aránya (százalék),Lakosságtól szelektíven elszállított települési hulladék aránya (százalék),Lakott területen történt összes közúti közlekedési baleset ezer főre (eset),Mozi léte (igen-nem),"Múzeumi látogatók, 100 lakosra (fő)","Működő kórházi ágy, 1000 lakosra (db)",Önkormányzat által kiutalt lakások ezer főre (db),Postai szolgáltatóhelyek tízezer lakosra,"Rendőrkapitányság, határrendészeti kirendeltség, rendőrőrs, körzeti megbízott székhely léte (igen-nem)","Rendszeres művelődési formákban résztvevők, 100 lakosra (fő)",Szállított utasok a helyi tömegközlekedésben (városok) (1000 fő),"Személygépkocsi, 1000 lakosra (db)",Színház léte (igen-nem),Színházak látogatói (fő),"Természetes szaporodás, fogyás (ezrelék)",Utaskilométer a helyi tömegközlekedésben (városok) (1000 km),Vasútállomás léte (igen-nem),Indexpontszám,Rangsor,teltipus
min,"-12,85","3,7","12,6","691508,23","18,3","127,6","28,47","86,64",68,"33,58","37105,7","0,1","1122,96","20,57","43,74",0,"2,5","0,3","68,37","0,8",0,"60,6","0,9","50,88",18,"43,75","14,06","17,33","7,4","0,6",1,"1,79",100,"282,04",0,100,"93,88",0,"0,9",100,0,"8,24",0,"0,5",100,"2,8","1870,4","278,91",100,0,-9,"6477,1",100,13,1,Megyeszékhely
max,7,"29,9",28,"2876356,5","83,2","975,6","242,6",100,657,"434,5","620747,7",11,"1788,2","112,32","61,7","145,8","4,2","12,6","98,3","15,1",0,"341,18","9,17",100,"82,6","55,7","686,7","130,78","19,58","10,79",100,"32,14",100,"454,1","53,54",100,100,"39,4","2,05",100,"805,8","29,43","9,1","2,51",100,"52,36",103302,"472,7",100,167862,"-0,92","347774,9",100,"53,9",18,Megyeszékhely
min,"-8,9","3,5","15,8","752462,9",9,"128,1","47,1",0,153,"15,1",0,0,"968,9","24,4","32,4",0,"1,5","0,1",0,"0,1",0,"4,8","0,7","22,8","45,6","37,8",0,"15,2","2,3","0,2",1,"0,8",0,0,0,1,0,0,"0,8",1,0,0,0,"0,2",100,"0,5",0,"229,7",1,0,-8,0,0,"13,6",1,Kerület
max,"12,94229245","107,6","51,7","3991585,3","196,3","1715,5","119,4",0,1228,"412,5",0,"21,6","1972,6",119,"71,4",0,"5,3","20,8",0,"32,2",0,"371,8","14,6",100,100,"56,1","7579,293679",314,"14,6","35,8",100,"7,1",0,0,"42,6",100,0,0,"4,2",100,"5104,19","45,8","7,6","3,8",100,"41,97",0,"779,6",100,979018,"-1,1",0,0,"59,8",23,Kerület
min,"-16,3","1,9","7,4","601294,9",0,"100,1","10,22","73,5","38,8","3,2",0,0,"1060,7","14,4","41,2",0,"0,6",0,"57,34","0,1",0,"27,1","0,7","7,1","12,7","39,2",0,15,"2,9",0,1,"0,6",100,"177,5",0,1,"78,74",0,"0,3",1,0,0,0,"0,4",1,0,0,"221,5",1,0,"-11,8",0,1,"9,3",1,Város
max,"21,2","54,7","36,5","3681045,8","63,9",1233,"555,63",100,902,"372,1","805435,457","21,5","2631,3","66,1","66,6","180,87","5,9",14,100,"15,9",76,252,"9,7",100,"94,1","65,3","4867,6","224,5","24,2","8,8",100,"59,8",100,456,"54,8",100,100,"49,29","2,5",100,"1686,6","69,8",3,"3,2",100,"121,9","14843,7","560,8",100,84337,"3,2","47867,7",100,"47,7",67,Város
min,-32,"0,5","3,8","461727,3",0,"87,4","7,1","60,4",0,"3,2",0,0,"908,5","10,7","38,1",0,0,0,0,0,"6,77","13,8","0,1","8,6","5,8","12,3",0,"8,4",0,0,1,0,1,105,0,1,100,0,0,1,0,0,0,"0,6",1,0,0,"145,1",1,0,-19,0,1,"7,2",1,Közepes település
max,"49,4","69,5","38,8","3750766,9","166,8","1398,1","532,32",100,1049,796,"5359086,96","59,8",5786,"97,8","69,3","172,89","5,6","13,4",100,"19,8",97,"430,2","15,5",100,100,"56,3","7280,1",328,"28,3","14,9",100,"125,7",100,"526,5","306,9",100,100,"75,49","2,6",100,"1493,9","63,7","7,9","6,3",100,"48,3","2578,9","556,9",100,28940,8,"22991,7",100,"42,3",184,Közepes település
min,"-545,5",0,0,"89848,6",0,0,0,"4,2",0,0,0,0,78,0,"11,5",0,0,0,0,0,7,0,0,0,0,"16,6",0,0,0,0,1,0,1,0,0,1,"82,98",0,0,1,0,0,0,0,1,0,0,34,1,0,"-121,2",0,1,"3,9",1,Kistelepülés
max,"444,5","364,4","45,5","5881661,1","172,2","6814,2",6354,100,1395,"5378,2","27311738,7","90,8",4936,"652,2",175,"186,46","51,8","520,8",100,"461,7",124,"575,5","36,2",100,100,79,"34838,5","823,7",100,"284,6",1,"1013,1",100,"2282,2",2037,100,100,"69,53","18,3",100,"30210,3","606,2","3,9","93,5",100,"1544,8","140,3","10450,1",100,22821,"105,3","533,5",100,"23,9",2885,Kistelepülés